Index,Artist Name,Track Name,Release Date,Danceability,Energy,Key,Loudness,Mode,Speechiness,Accousticness,Instrumentalness,Liveness,Valence,Tempo,Duration MS,Time Signature
120,Low,Last Night I Dreamt That Somebody Loved Me,2016-02-05,0.196,0.112,4,-11.31,0,0.039,0.429,0.83,0.115,0.0431,136.896,238973,3
121,Ninet Tayeb,Self Destructive Mind,2018-09-21,0.592,0.348,9,-6.704,0,0.0249,0.193,1.84e-05,0.117,0.0614,109.978,227211,4
122,Twenty One Pilots,Stressed Out,2015-05-15,0.734,0.637,4,-5.677,0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,202333,4
123,The Shins,New Slang,2001-06-19,0.669,0.389,0,-11.547,1,0.0306,0.605,0.16,0.0905,0.649,130.015,231173,4
124,Moby,Why Does My Heart Feel So Bad?,2008-06-02,0.598,0.624,7,-6.923,1,0.0332,0.00107,0.0795,0.0826,0.0451,98.004,264827,4
125,Jake Bugg,Broken,2012-01-01,0.432,0.438,8,-8.743,1,0.0276,0.372,0.00472,0.129,0.207,119.812,247014,4
126,James Blunt,You're Beautiful,2005-10-04,0.675,0.479,0,-9.87,0,0.0278,0.633,1.76e-05,0.088,0.454,81.998,209493,4
127,John Mayer,"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",2008,0.315,0.296,5,-13.262,1,0.0317,0.771,0,0.702,0.436,172.638,263573,4
128,Kodaline,Blood and Bones,2017-10-13,0.471,0.354,2,-8.514,1,0.0288,0.575,4.69e-05,0.0695,0.0979,74.965,232680,4
129,Seafret,Oceans,2015-01-21,0.404,0.48,9,-8.906,0,0.0303,0.274,8.63e-06,0.132,0.2,129.162,216187,3
130,Band of Horses,No One's Gonna Love You,2007-10-09,0.313,0.894,1,-3.579,1,0.0294,0.121,0,0.0925,0.362,149.043,217333,4
131,Travis Tritt,Anymore,1995,0.533,0.365,11,-9.407,1,0.0253,0.463,1.36e-06,0.104,0.289,148.215,227600,4
132,Mayday Parade,Miserable At Best,2007-07-10,0.499,0.361,2,-10.771,1,0.0299,0.568,0,0.0991,0.422,134.894,316920,4
133,The Neighbourhood,Wires,2013-05-08,0.568,0.569,7,-6.013,0,0.0329,0.0004,0.102,0.342,0.266,72.991,193080,4
134,The 1975,I Always Wanna Die (Sometimes),2018-11-30,0.376,0.473,4,-5.636,1,0.0325,0.00527,0.00162,0.123,0.0398,148.835,314663,4
135,Coldplay,Warning Sign,2002-08-08,0.534,0.434,3,-9.423,1,0.0277,0.0932,0.0126,0.142,0.0395,140.632,331133,4
136,John Mayer,Slow Dancing in a Burning Room,2006-09-11,0.668,0.361,1,-8.69,0,0.0273,0.573,0.00506,0.0805,0.288,134.15,242000,5
137,Bright Eyes,Lua,2005-01-25,0.634,0.156,2,-17.025,1,0.0813,0.811,3.86e-05,0.0896,0.299,107.023,271600,4
138,AURORA,"Murder Song (5, 4, 3, 2, 1) - Acoustic",2015-09-04,0.479,0.0892,9,-13.723,0,0.032,0.897,2.79e-06,0.0899,0.336,77.799,218773,4
139,The Fray,You Found Me,2009-02-02,0.338,0.803,8,-5.412,0,0.0413,0.0187,0,0.136,0.4,151.994,241853,4
140,Bon Iver,Skinny Love,2007-07-08,0.565,0.257,0,-14.04,1,0.0579,0.843,3.03e-06,0.109,0.111,76.493,238520,4
141,Lukas Graham,7 Years,2015-10-22,0.765,0.473,10,-5.829,1,0.0514,0.287,0,0.391,0.34,119.992,237300,4
142,Lana Del Rey,The Blackest Day,2015-09-18,0.413,0.514,2,-7.934,1,0.0327,0.349,0.000624,0.0807,0.148,107.641,365760,4
143,John Mayer,Gravity,2006,0.764,0.326,7,-9.883,1,0.0342,0.731,0.0013,0.24,0.237,123.98,245827,3
144,P!nk,I Don't Believe You,2008-10-24,0.324,0.274,8,-9.077,1,0.0311,0.754,0,0.107,0.239,115.981,276280,5
145,Avril Lavigne,I'm with You,2002-08-26,0.457,0.406,9,-7.462,1,0.0291,0.08,0,0.117,0.208,151.95,223067,3
146,Jasper Steverlinck,That's Not How Dreams Are Made,2017-08-25,0.517,0.0507,4,-15.865,0,0.0435,0.932,0.14,0.111,0.125,75.936,199239,4
147,Kodaline,High Hopes,2013-06-14,0.488,0.487,4,-6.371,1,0.0307,0.577,0,0.193,0.217,77.344,230267,4
148,Bastille,World Gone Mad,2017-11-09,0.505,0.68,6,-3.423,0,0.0336,0.283,0,0.175,0.362,139.843,195701,4
149,Reggii,1-800-273-8255,2017-10-06,0.62,0.138,7,-13.917,0,0.0439,0.909,0,0.111,0.363,120.362,273065,4
150,Adele,Hello,2015-10-23,0.471,0.431,5,-6.129,0,0.0342,0.329,0,0.0854,0.289,157.98,295502,4
151,Paul Young,Every Time You Go Away - Radio Edit,1991-09-07,0.572,0.721,5,-8.959,1,0.0402,0.187,7.41e-06,0.216,0.844,164.252,267000,4
152,P!nk,Try,2012-09-18,0.673,0.629,2,-7.072,1,0.0299,0.00141,0,0.0944,0.551,103.998,247907,4
153,Ed Sheeran,Photograph,2014-06-21,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,258987,4
154,The Perishers,Pills,2005-04-11,0.528,0.288,0,-8.608,0,0.0262,0.667,0,0.113,0.294,95.389,189240,4
155,The Lumineers,Slow It Down,2012-01-01,0.423,0.0657,1,-14.421,1,0.0386,0.928,1.4e-06,0.0922,0.105,98.489,305347,3
156,Ryan Adams,When The Stars Go Blue,2001-01-01,0.59,0.208,10,-13.25,1,0.0316,0.466,2.81e-05,0.115,0.293,90.084,211667,4
157,Kodaline,Talk,2013-06-14,0.541,0.455,1,-7.305,1,0.0306,0.531,8.71e-05,0.0689,0.169,119.985,268360,4
158,Lady A,Need You Now,2010-01-01,0.588,0.724,4,-4.379,1,0.0315,0.0348,9.52e-05,0.239,0.377,107.986,236787,4
159,Gavin Mikhail,Amnesia,2014-08-13,0.396,0.398,11,-6.15,1,0.0412,0.88,0,0.203,0.305,89.017,289756,4
160,P!nk,Just Give Me a Reason (feat. Nate Ruess),2012-09-18,0.778,0.547,2,-7.273,1,0.0489,0.346,0.000302,0.132,0.441,95.002,242733,4
161,isaac gracie,that was then,2018-04-13,0.397,0.541,3,-7.642,1,0.0271,0.507,0.000105,0.101,0.173,157.987,248874,3
162,Christina Perri,the lonely,2011-05-10,0.237,0.269,7,-9.61,0,0.0298,0.573,0.000283,0.101,0.0681,81.256,233480,4
163,Seafret,Give Me Something,2016-01-29,0.557,0.439,9,-11.153,1,0.0379,0.833,0.000331,0.108,0.115,131.667,158720,4
164,Anson Seabra,I Can't Carry This Anymore,2019-01-11,0.451,0.0873,3,-16.815,1,0.063,0.907,2.46e-06,0.354,0.456,166.598,200000,4
165,Eva & The Heartmaker,Twenty-four Something,2011-02-18,0.563,0.128,7,-13.166,1,0.0332,0.908,0,0.102,0.168,74.942,193987,3
166,Shawn Mendes,Never Be Alone,2015-02-10,0.387,0.473,10,-6.93,1,0.0345,0.461,5.04e-05,0.0839,0.261,200.764,215840,4
167,Kodaline,All I Want,2012-09-07,0.189,0.427,0,-9.08,1,0.0449,0.113,0.0923,0.058,0.158,187.212,306600,3
168,Gabriel Rios,Gold,2014-09-30,0.611,0.174,1,-9.482,1,0.0445,0.844,0.00142,0.121,0.199,120.757,251467,4
